District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province,Male,Female,Total,Households,Area_sq_km, Household Density ,Population_Density
NANDI NORTH,86242,43588,7166,6,1278,244,147802,11820,4586,Nandi,"(0.438611778, 35.06077368)",0.438611778,35.06077368,RIFE VALLEY,80199,80406,160605,31106,730.87,42.56,80515.73087
NANDI SOUTH,68155,22280,14340,11,2040,268,146613,7013,5652,Nandi,"(0.048811478, 34.96800793)",0.048811478,34.96800793,RIFE VALLEY,78209,79758,157967,30768,525.45,58.56,79906.84194
NAROK NORTH,255881,529492,219394,116,38796,3959,113328,17324,19402,Narok,"(-0.959555087, 35.99464674)",-0.959555087,35.99464674,RIFE VALLEY,109966,103800,213766,42982,4639.41,9.26,103823.7026
NAROK SOUTH,701899,935757,510328,449,38934,2275,172644,8731,22730,Narok,"(-1.402738483, 35.5807782)",-1.402738483,35.5807782,RIFE VALLEY,158947,158897,317844,62412,10412.05,5.99,158912.2657
NYAMIRA,76127,6309,27671,0,1376,379,215897,29564,1509,Nyamira,"(-0.549513229, 34.96346861)",-0.549513229,34.96346861,NYANZA,125744,137457,263201,56063,337.9,165.92,137829.1338
NYANDARUA NORTH,121973,148810,17943,4,7366,1528,337630,36959,6483,Nyandarua,"(-0.144560572, 36.42343108)",-0.144560572,36.42343108,CENTRAL,106111,109785,215896,52503,1394.69,37.64,109861.0821
NYANDARUA SOUTH,110110,116856,5697,1,3863,597,239240,16385,5804,Nyandarua,"(-0.533045224, 36.55651343)",-0.533045224,36.55651343,CENTRAL,131872,137982,269854,61936,1472.58,42.06,138071.5517
NYANDO,143085,97179,100744,6,14174,1172,391119,33369,11143,Kisumu,"(-0.198538171, 35.02991504)",-0.198538171,35.02991504,NYANZA,115314,124415,239729,52448,847.6,61.88,124551.0477
NYERI NORTH,128193,136947,46557,78,2219,5773,283681,67995,9256,Nyeri,"(-0.266587082, 36.9811441)",-0.266587082,36.9811441,CENTRAL,141423,143971,285394,81307,2253.47,36.08,144033.7579
NYERI SOUTH,94053,31862,56369,10,1064,7811,229956,84385,6743,Nyeri,"(-0.500808092, 36.89927916)",-0.500808092,36.89927916,CENTRAL,114557,123990,238547,66028,874.13,75.54,124121.0526
NZAUI,70595,33734,169009,12,6195,351,187146,8684,13900,Makueni,"(-1.928374635, 37.41612392)",-1.928374635,37.41612392,EASTERN,94961,99381,194342,40654,1378.37,29.49,99449.89369
