COUNTY,Class,Number,Gender,Year,County (Centroids)
Laikipia       ,Class 2,6468,Boys,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 2,1960,Boys,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 2,18571,Boys,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 2,17621,Boys,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 2,9625,Boys,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 2,4618,Boys,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 2,23079,Boys,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 2,21210,Boys,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 2,8686,Boys,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 2,12667,Boys,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 2,30329,Boys,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 2,28577,Boys,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 2,16105,Boys,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 2,18712,Boys,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 2,9746,Boys,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 2,9344,Boys,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 2,8297,Boys,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 2,3882,Boys,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 2,17424,Boys,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 2,4415,Boys,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 2,3612,Boys,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 2,6341,Boys,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 2,16307,Boys,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 2,19951,Boys,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 2,12558,Boys,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 2,12286,Boys,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 2,6776,Boys,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 2,13015,Boys,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 3,9313,Boys,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 3,15648,Boys,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 3,34695,Boys,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 3,17574,Boys,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 3,7519,Boys,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 3,8110,Boys,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 3,11887,Boys,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 3,21831,Boys,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 3,2506,Boys,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 3,10925,Boys,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 3,38719,Boys,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 3,15383,Boys,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 3,20452,Boys,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 3,20257,Boys,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 3,7177,Boys,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 3,21623,Boys,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 3,17614,Boys,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 3,23230,Boys,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 3,12173,Boys,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 3,6568,Boys,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 3,1780,Boys,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 3,18987,Boys,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
