District,rural/urban,Male,Female,Total,Households,Area in Sq. Km., Household Density ,Population Density,Gender Index,County,Location 1,Province
KISUMU WEST,Rural,65384,72591,137975,31608,352.23,89.74,72776.62871,1.110225743,NYANZA,,34.53285818
NYANDO,Rural,115314,124415,239729,52448,847.6,61.88,124551.0477,1.078923635,NYANZA,,35.02991504
HOMA BAY,Rural,145981,161346,307327,65649,1067.59,61.49,161482.7388,1.105253423,NYANZA,,34.44445584
SUBA,Rural,96328,99785,196113,40405,1057.37,38.21,99876.10151,1.0358878,NYANZA,,34.20665004
RACHUONYO,Rural,154325,167978,322303,67930,860.23,78.97,168157.3997,1.08846914,NYANZA,,34.70386182
MIGORI,Rural,121181,132228,253409,51951,1092.16,47.57,132338.9554,1.091161156,NYANZA,,34.30280979
RONGO,Rural,65240,68914,134154,26880,429.94,62.52,69065.7421,1.056315144,NYANZA,,34.51455638
KURIA WEST,Rural,66766,69496,136262,21501,365.93,58.76,69678.45566,1.040889075,NYANZA,,34.51983447
KURIA EAST,Rural,40248,41585,81833,13513,188.03,71.87,41799.05095,1.033219042,NYANZA,,34.65699509
KISII CENTRAL,Rural,133883,149234,283117,60739,335.51,181.03,149633.0432,1.114659815,NYANZA,,34.79181187
KISII SOUTH,Rural,25973,28996,54969,11355,78.43,144.78,29327.16155,1.116390097,NYANZA,,34.6895693
MASABA,Rural,67399,75588,142987,31121,193.37,160.94,75936.54941,1.121500319,NYANZA,,34.88253143
GUCHA,Rural,173472,190988,364460,75379,444.13,169.72,191378.5883,1.100973068,NYANZA,,34.77186075
GATUNDU,urban,2783,3224,6007,1967,1.97,3052.8,4636.690355,1.158462091,CENTRAL,,36.85558237
GUCHA SOUTH,Rural,70458,75849,146307,29032,192.6,150.74,76214.82555,1.076513668,NYANZA,,34.65567846
NYAMIRA,Rural,125744,137457,263201,56063,337.9,165.92,137829.1338,1.093149574,NYANZA,,34.96346861
MANGA,Rural,41678,46181,87859,19295,111.32,173.33,46555.39813,1.108042612,NYANZA,,34.90211779
BORABU,Rural,34151,33461,67612,15615,246.55,63.33,33599.51551,0.979795614,NYANZA,,35.02803793
TURKANA CENTRAL,Rural,101846,102536,204382,31217,13990.49,2.23,102543.2797,1.006774935,RIFT VALLEY,,35.44299468
TURKANA NORTH,Rural,159941,142978,302919,40422,35091.54,1.15,142982.5578,0.893942141,RIFT VALLEY,,35.09717514
TURKANA SOUTH,Rural,121022,105357,226379,28437,18670.82,1.52,105363.4819,0.870560724,RIFT VALLEY,,35.99979492
WEST POKOT,Rural,68488,69879,138367,26209,2189.2,11.97,69910.28449,1.020310127,RIFT VALLEY,,35.16354392
POKOT NORTH,Rural,77959,78052,156011,25966,3953.21,6.57,78071.72043,1.001192935,RIFT VALLEY,,35.10600361
POKOT CENTRAL,Rural,87199,88417,175616,32548,2898.74,11.23,88447.08169,1.01396805,RIFT VALLEY,,35.49402215
SAMBURU CENTRAL,Rural,42524,44378,86902,18300,3924.43,4.66,44388.83571,1.043598909,RIFT VALLEY,,36.71442163
SAMBURU EAST,Rural,22641,23931,46572,9976,9783.15,1.02,23933.31429,1.056976282,RIFT VALLEY,,37.47389892
SAMBURU NORTH,Rural,27646,24163,51809,10051,7017.61,1.43,24166.93952,0.874014324,RIFT VALLEY,,36.83086912
TRANS NZOIA WEST,Rural,117754,121100,238854,47146,622.05,75.79,121289.2999,1.028415171,RIFT VALLEY,,34.89426897
TRANS NZOIA EAST,Rural,96596,98577,195173,39119,629.78,62.12,98730.38055,1.020508096,RIFT VALLEY,,35.18029104
KWANZA,Rural,108501,108809,217310,42605,1106.59,38.5,108907.0499,1.002838684,RIFT VALLEY,,34.85810469
BARINGO,Rural,65136,66242,131378,27309,2420.16,11.28,66268.91392,1.016979858,RIFT VALLEY,,35.97415916
BARINGO NORTH,Rural,46228,47561,93789,19734,1703.49,11.58,47588.13723,1.028835338,RIFT VALLEY,,35.80555092
EAST POKOT,Rural,69889,63300,133189,21291,4516.81,4.71,63315.47309,0.90572193,RIFT VALLEY,,36.01860317
KOIBATEK,Rural,68064,67590,135654,26523,2273.55,11.67,67619.93732,0.993035966,RIFT VALLEY,,35.86953085
ELDORET WEST,Rural,123499,123933,247432,47151,1018.49,46.3,124054.257,1.003514198,RIFT VALLEY,,35.19163187
ELDORET EAST,Rural,80374,80348,160722,30873,1182.97,26.1,80415.94255,0.999676512,RIFT VALLEY,,35.41893944
WARENG,Rural,70614,69852,140466,27773,832.61,33.36,69936.81042,0.989208939,RIFT VALLEY,,35.33850049
MARAKWET,Rural,89136,90322,179458,37581,1583.88,23.73,90378.27699,1.013305511,RIFT VALLEY,,35.50699822
KEIYO,Rural,68649,68705,137354,28369,1290,21.99,68758.21628,1.000815744,RIFT VALLEY,,35.57039657
NANDI NORTH,Rural,80199,80406,160605,31106,730.87,42.56,80515.73087,1.00258108,RIFT VALLEY,,35.06077368
NANDI CENTRAL,Rural,70344,72075,142419,28367,506.18,56.04,72213.97033,1.024607642,RIFT VALLEY,,35.08490348
NANDI EAST,Rural,57741,54897,112638,25598,528.57,48.43,55006.24002,0.950745571,RIFT VALLEY,,35.23779105
NANDI SOUTH,Rural,78209,79758,157967,30768,525.45,58.56,79906.84194,1.019805905,RIFT VALLEY,,34.96800793
TINDERET,Rural,39109,37946,77055,14489,379.67,38.16,38049.00788,0.970262599,RIFT VALLEY,,35.3167413
LAIKIPIA NORTH,Rural,16158,15181,31339,6360,2598.1,2.45,15187.21916,0.939534596,RIFT VALLEY,,36.99627658
LAIKIPIA EAST,Rural,47846,47497,95343,26516,2846.76,9.31,47513.80718,0.992705764,RIFT VALLEY,,36.95183375
