District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province
EMUHAYA,49665,4646,10156,0,309,892,157082,9521,585,Vihiga,"(0.057677852, 34.60778185)",0.057677852,34.60778185,WESTERN
NANDI SOUTH,68155,22280,14340,11,2040,268,146613,7013,5652,Nandi,"(0.048811478, 34.96800793)",0.048811478,34.96800793,RIFE VALLEY
MERU CENTRAL,57108,24524,31093,2,862,2010,131170,22164,14556,Meru,"(0.001443681, 37.58330732)",0.001443681,37.58330732,EASTERN
TINDERET,34023,9942,14649,0,4205,58,62074,2876,3718,Nandi,"(-0.013491939, 35.3167413)",-0.013491939,35.3167413,RIFE VALLEY
GARISSA,266878,312601,1000856,101548,25820,40,31134,12329,3035,Garissa,"(-0.051825797, 39.56855753)",-0.051825797,39.56855753,NORTH EASTERN
KISUMU WEST,50329,16670,35594,2,813,529,176289,12245,291,Kisumu,"(-0.087587476, 34.53285818)",-0.087587476,34.53285818,NYANZA
BONDO,66419,19004,52674,4,2406,955,194203,11873,827,Siaya,"(-0.09212788, 34.19064437)",-0.09212788,34.19064437,NYANZA
KISUMU EAST,79369,36552,58628,5,953,2559,285087,81850,954,Kisumu,"(-0.103412297, 34.80473358)",-0.103412297,34.80473358,NYANZA
IMENTI SOUTH,54240,15755,40921,4,409,1822,123687,35025,17377,Meru,"(-0.122681965, 37.60133849)",-0.122681965,37.60133849,EASTERN
NAKURU,83787,70632,62188,2,3938,3803,244309,151941,3610,Nakuru,"(-0.134672183, 36.03461164)",-0.134672183,36.03461164,RIFE VALLEY
NAKURU NORTH,34463,43751,11762,0,2273,1912,196487,151864,1446,Nakuru,"(-0.135028953, 36.16401596)",-0.135028953,36.16401596,RIFE VALLEY
THARAKA,63444,31961,142813,12,5444,980,135417,5692,77383,Tharaka Nithi,"(-0.136787024, 38.01828449)",-0.136787024,38.01828449,EASTERN
NYANDARUA NORTH,121973,148810,17943,4,7366,1528,337630,36959,6483,Nyandarua,"(-0.144560572, 36.42343108)",-0.144560572,36.42343108,CENTRAL
KIPKELION,88104,35276,26783,0,10503,250,172350,10129,10020,Kericho,"(-0.155533799, 35.47881562)",-0.155533799,35.47881562,RIFE VALLEY
NYANDO,143085,97179,100744,6,14174,1172,391119,33369,11143,Kisumu,"(-0.198538171, 35.02991504)",-0.198538171,35.02991504,NYANZA
RARIEDA,60060,19807,44300,4,3573,559,183384,6563,722,Siaya,"(-0.218940047, 34.33792037)",-0.218940047,34.33792037,NYANZA
MAARA,32522,10418,36423,6,188,4030,99410,16724,18638,Meru,"(-0.228019729, 37.62522793)",-0.228019729,37.62522793,EASTERN
NYERI NORTH,128193,136947,46557,78,2219,5773,283681,67995,9256,Nyeri,"(-0.266587082, 36.9811441)",-0.266587082,36.9811441,CENTRAL
MERU SOUTH,36893,19283,52354,2,486,4575,123515,15940,33942,Meru,"(-0.330686401, 37.67297626)",-0.330686401,37.67297626,EASTERN
KERICHO,130712,16000,46176,2,9070,490,237377,33681,2720,Kericho,"(-0.34219841, 35.21130866)",-0.34219841,35.21130866,RIFE VALLEY
EMBU,67052,20716,54116,2,579,5021,234489,53217,26972,Embu,"(-0.409100139, 37.50475286)",-0.409100139,37.50475286,EASTERN
MOLO,182243,149906,37724,2,20208,1789,439209,39865,64052,Nakuru,"(-0.409755795, 35.75756717)",-0.409755795,35.75756717,RIFE VALLEY
RACHUONYO,132046,52918,105275,6,5879,965,433562,23805,1482,Homa Bay,"(-0.43493606, 34.70386182)",-0.43493606,34.70386182,NYANZA
KYUSO,53660,27593,175228,1190,25863,113,78526,3371,84514,Kitui,"(-0.440861626, 38.27042885)",-0.440861626,38.27042885,EASTERN
NYERI SOUTH,94053,31862,56369,10,1064,7811,229956,84385,6743,Nyeri,"(-0.500808092, 36.89927916)",-0.500808092,36.89927916,CENTRAL
KIRINYAGA,144112,27642,101596,7,3990,10606,465455,82458,10227,Kirinyaga,"(-0.519266797, 37.32018369)",-0.519266797,37.32018369,CENTRAL
NYANDARUA SOUTH,110110,116856,5697,1,3863,597,239240,16385,5804,Nyandarua,"(-0.533045224, 36.55651343)",-0.533045224,36.55651343,CENTRAL
BURET,112087,33629,14250,6,4008,349,161569,17601,16109,Bomet,"(-0.547074877, 35.3033778)",-0.547074877,35.3033778,RIFE VALLEY
NYAMIRA,76127,6309,27671,0,1376,379,215897,29564,1509,Nyamira,"(-0.549513229, 34.96346861)",-0.549513229,34.96346861,NYANZA
SUBA,83238,17364,86412,10,8625,962,215674,9592,893,Homa Bay,"(-0.582416527, 34.20665004)",-0.582416527,34.20665004,NYANZA
KISII CENTRAL,77353,5427,28433,0,931,670,270754,47631,1386,Kisii,"(-0.589287405, 34.79181187)",-0.589287405,34.79181187,NYANZA
KISII SOUTH,25627,788,7930,0,118,140,93509,12192,185,Kisii,"(-0.664610487, 34.6895693)",-0.664610487,34.6895693,NYANZA
MBEERE,83648,26834,166679,11,7234,1347,202410,14675,74004,Embu,"(-0.666137176, 37.66541038)",-0.666137176,37.66541038,EASTERN
HOMABAY,158259,48665,67488,7,4285,3239,445540,22404,1030,Homa Bay,"(-0.667961724, 34.44445584)",-0.667961724,34.44445584,NYANZA
MURANGA NORTH,102573,21865,86808,0,930,3843,246041,89409,6019,Murang'a,"(-0.675384535, 36.98118146)",-0.675384535,36.98118146,CENTRAL
FAFI,86337,98889,179226,28143,7694,2,5844,2540,519,Garissa,"(-0.687063677, 40.43908059)",-0.687063677,40.43908059,NORTH EASTERN
MANGA,22548,1989,7054,0,218,84,65849,12267,1105,Nyamira,"(-0.688310175, 34.90211779)",-0.688310175,34.90211779,NYANZA
NAIVASHA,139501,240746,115363,67,19375,6390,222316,84814,6487,Nakuru,"(-0.727134387, 36.33344468)",-0.727134387,36.33344468,RIFE VALLEY
BORABU,22827,4416,8776,0,653,417,70047,11250,1178,Nyamira,"(-0.735368659, 35.02803793)",-0.735368659,35.02803793,NYANZA
SOTIK,102484,30100,13387,4,3592,328,168386,7840,3666,Bomet,"(-0.759704345, 35.1490337)",-0.759704345,35.1490337,RIFE VALLEY
MASABA,63945,6651,19094,2,1845,425,189884,20822,1130,Kisii,"(-0.793929262, 34.88253143)",-0.793929262,34.88253143,NYANZA
BOMET,210855,53060,82395,5,18363,604,364644,13981,14807,Bomet,"(-0.840969003, 35.31899335)",-0.840969003,35.31899335,RIFE VALLEY
MURANGA SOUTH,112181,25974,82937,4,2066,14336,365272,280819,25643,Murang'a,"(-0.845673319, 37.05522802)",-0.845673319,37.05522802,CENTRAL
GUCHA,98487,9178,21941,0,2644,737,320792,32086,6314,Kisii,"(-0.846550168, 34.77186075)",-0.846550168,34.77186075,NYANZA
GUCHA SOUTH,40625,2719,10449,0,909,310,151492,11029,488,Kisii,"(-0.847942391, 34.65567846)",-0.847942391,34.65567846,NYANZA
GATANGA,28494,6480,17402,0,302,4105,71439,144862,1832,Murang'a,"(-0.876497537, 36.88791928)",-0.876497537,36.88791928,CENTRAL
RONGO,102999,29324,43995,4,1896,1528,435781,28404,604,Migori,"(-0.877791282, 34.51455638)",-0.877791282,34.51455638,NYANZA
MWINGI,84332,10262,276392,513,35361,171,144292,5249,110271,Kitui,"(-0.907180566, 38.36852014)",-0.907180566,38.36852014,EASTERN
LARI,34890,23554,2677,0,2291,960,69419,29186,896,Kiambu,"(-0.92811243, 36.67684469)",-0.92811243,36.67684469,CENTRAL
TANA RIVER,58056,141698,365544,48386,12688,23,43208,6734,11058,Tana River,"(-0.942366175, 39.34922935)",-0.942366175,39.34922935,COAST
GATUNDU,53364,27569,20162,15,677,2464,142974,366834,3280,Kiambu,"(-0.959326055, 36.85558237)",-0.959326055,36.85558237,CENTRAL
NAROK NORTH,255881,529492,219394,116,38796,3959,113328,17324,19402,Narok,"(-0.959555087, 35.99464674)",-0.959555087,35.99464674,RIFE VALLEY
MIGORI,145339,33958,79625,1,5848,1021,428046,28729,672,Migori,"(-0.994047994, 34.30280979)",-0.994047994,34.30280979,NYANZA
THIKA EAST,21164,8000,26083,0,356,990,53662,49439,12224,Kiambu,"(-1.029757173, 37.23100647)",-1.029757173,37.23100647,CENTRAL
YATTA,94779,35321,263080,1,10828,405,237075,15843,23288,Machakos,"(-1.060809489, 37.60220541)",-1.060809489,37.60220541,EASTERN
GITHUNGURI,57008,9111,6513,0,697,2455,101259,110202,1217,Kiambu,"(-1.066938632, 36.79433274)",-1.066938632,36.79433274,CENTRAL
THIKA WEST,17323,14716,17838,0,725,2884,80174,191810,562,Kiambu,"(-1.099288796, 37.04502993)",-1.099288796,37.04502993,CENTRAL
KIAMBU WEST,22484,19745,5765,0,3444,1260,61827,186631,913,Kiambu,"(-1.139177531, 36.62625892)",-1.139177531,36.62625892,CENTRAL
KIAMBU EAST(KIAMBAA),28767,11057,10459,110,1028,9885,91032,185126,2909,Kiambu,"(-1.158558742, 36.80546766)",-1.158558742,36.80546766,CENTRAL
TRANS MARA,459106,184780,150496,43,20466,1097,275347,11468,22335,Narok,"(-1.159714592, 34.89742997)",-1.159714592,34.89742997,RIFE VALLEY
RUIRU,16458,16745,16904,2,1117,3660,89749,168294,585,Kiambu,"(-1.167110142, 36.99460397)",-1.167110142,36.99460397,CENTRAL
KURIA WEST,84830,15060,43929,0,839,808,283475,19365,2031,Migori,"(-1.18554383, 34.51983447)",-1.18554383,34.51983447,NYANZA
NAIROBI NORTH,12838,5371,14204,17,6894,12981,77544,110746,1243,Nairobi,"(-1.225618057, 36.8911257)",-1.225618057,36.8911257,NAIROBI
KIKUYU,32758,17304,9499,0,3381,18820,110976,399043,1379,Kiambu,"(-1.236882983, 36.63360077)",-1.236882983,36.63360077,CENTRAL
KANGUNDO,71168,33887,85250,3,1256,820,188423,29678,4248,Machakos,"(-1.237582196, 37.27203719)",-1.237582196,37.27203719,EASTERN
